premise,hypothesis,gold_label,predicted_label
oh that sounds interesting too,That is not very attention grabbing. ,contradiction,contradiction
"( sums up the millennium coverage from around the globe, and  examines whether the Y2K preparations were a waste.)","(The millennium coverage from around the globe is summed up and examined, but results are not out yet).",neutral,neutral
because i always had to do it and so i just pay someone else to do it and they do the they do the cutting they fertilize they um edge and um i think this year i'm going to have some landscaping put in,"I am going to have someone landscape, since I always have someone do it. ",entailment,entailment
The arched gateway leads to a large swimming pool and the ruins of a Roman and Byzantine baths complex.,The Roman and Byzantine baths are built on separate stories.,neutral,contradiction
the only problem is it's not large enough it only holds about i think they squeezed when Ryan struck out his five thousandth player they they squeezed about forty thousand people in there,It doesn't hold many people.,contradiction,entailment
"In the final rule, HCFA revised certain regulations pertaining to the costs of graduate medical education programs to conform to a recently enacted statute.",HCFA never revised any regulations for any programs.,contradiction,contradiction
As of last week he charges $50 an hour minimum instead of $25 for the services of his yearling Northern Utah Legal Aid Foundation.,His charges went up last week.,entailment,entailment
uh uh yeah that well um the older you get the more convenience you try to bring with you i guess so i'm up to dragging the trailer around which is my next step is going to be probably Winnebago i hope if i only can afford one but that,"The older you get, the more you want conveniences.",entailment,entailment
"This is the island's main city and financial, governmental, and administrative centre, and its charms match those of other Mediterranean  jewels.  ",The city is nowhere near as charming as other Mediterranean cities. ,contradiction,contradiction
"Built in a.d. 688 691, it is decorated in thousands of exquisite, predominantly blue and yellow, Persian ceramic tiles, with Koranic scriptures on the lintels.",It's decorated in hundreds of green and brown ceramic tiles.,contradiction,contradiction
"At 79 m (260 ft) wide and 36 m (118 ft) high, it was built by the Ptolemies during a total reconstruction of the temple in the years 237 105 b.c.",The Ptolomies never built any temples at all.  ,contradiction,contradiction
"Unless the report is restricted by law or regulation, auditors should ensure that copies be made available for public inspection.",This report is most likely restricted by law or regulation and should not be ensured.,neutral,contradiction
"Steps are initiated to allow program board membership to reflect the clienteligible community and include representatives from the funding community, corporations and other partners.",There's enough room for 35-40 positions on the board.,neutral,neutral
Participants generally viewed the new internal control reporting requirements of the Sarbanes-Oxley Act of 2002 as a good requirement.,Those organizations affected by the Sarbanes-Oxley Act of 2002 viewed the reporting requirements positively.,entailment,entailment
She shrugged.,She moved her shoulders up and down.,entailment,neutral
