premise,hypothesis,gold_label,pred_label
"Further, there is no universally accepted way to transliterate Arabic words and names into English.",Arabic words and names are easily translated.,contradiction,contradiction
One letter writer to The Times [21 June 1988] ,A letter written at 5 in the morning on June 21st.,neutral,neutral
"That will only be the first step toward healing the pain of having been abandoned several times, neglected, and denied the happy childhood that should be every child's birthright.",No steps will be taken to help them overcome those abuses.,contradiction,neutral
"pogonip Another sure-fire dictionary  not a quick drink snatched while riding a bouncy stick, but a fog laden with particles of ice.","Instead of taking a drink while dancing on a bouncy stick, imbibe the air laden with droplets of rain.",contradiction,neutral
"The Secret Service agent felt strongly that the situation in Washington was too unstable for the President to return there, and Card agreed.",The Secret Service agent had strong feelings about the situation.,entailment,entailment
Let's look for Paua shells!,Let's look for sticks.,contradiction,contradiction
"The passengers continued their assault and at 10:02:23, a hijacker said, Pull it down!",The assault by the passengers lasted for over 10 minutes.,neutral,neutral
Each suit is ideally made from pattern pieces cut from the same ply of cloth and the same region of material.,Each suit should be made from pattern pieces.,entailment,entailment
I was a mistake.,"I wasn't meant to be a thing, you know; I was just a mistake that was let go into the world.",neutral,neutral
"Children who failed to grasp the kidnapper's motive and the reason for the arrest judged him to be  good,  not  bad. ",Kids who don't understand why kidnappers are doing what they are doing thought they were good because the guy was funny.,neutral,neutral
Even on so small an island as Taiwan the Mandarin-speaking ex-mainlanders cannot converse with the Taiwanese-born majority who have not bothered to learn Mandarin.,The Taiwanese majority refuse to learn Mandarin despite it being mandatory in school curriculums.,neutral,neutral
"We are asking for your ten dollars to help fund our programs of Research, Education, and Patient Service and Rehabilitation.","Your contribution of ten dollars is going to go towards Research, Education, and Patient Service and Rehabilitation.",entailment,entailment
Here are just some of the services your gift can provide.,"Your gift can offer services, here are some of them.",entailment,entailment
"In order to do this, laboratories must be developed and maintained with equipment that will provide first-rate, hands-on experience for our students.",Students do not need laboratory or hands-on experience for a good education.,contradiction,contradiction
Thirty-one privately-funded scholarships totaling $82.000 awarded to students annually,Private citizens fund thirty-one scholarships for students each year.,entailment,entailment
They say we're going up in the mountains to find some snow.,We're going on a quest to find snow in the mountains.,entailment,entailment
"Don't you think that will be hard if you move all the way up there, not seeing them as much?",Won't seeing them less often be hard for you?,entailment,entailment
"But NEADS did not know where to send the alert fighter aircraft, and the officer directing the fighters pressed for more I don't know where I'm scrambling these guys to.",I can't tell where I am sending the alert fighters to.,entailment,entailment
18 The advantage of using VMI programs stems from the retailer and manufacturer working together to determine a flow of shipments that optimizes the economics of the two parties as a system.,Many retailers work with foreign manufacturers in business.,neutral,neutral
"The first pertains to operational performance, or the ability of a supplier to respond to lean retailing replenishment requirements.",The capacity for a supplier to answer to replenishment requirements is the first thing mentioned.,entailment,entailment
It would be so damn foggy you could not see the yellow line on that divided highway in front of you and we to turn left out onto this highway.,We could clearly see the dividing line to turn right. ,contradiction,contradiction
What kind of stories?,What type of jokes should i tell?,contradiction,neutral
"In practice, however, retail inventory management is fraught with challenges, such as long and uncertain order-fulfillment lead times, and errors in product identification and record keeping.","Retail inventory management has many problems, most of which still haven't been solved today.",neutral,neutral
Wal-Mart is the most well known of the early lean retailers.,A prominent early lean retailer is Wal-Mart.,entailment,entailment
The looking-glass image of utopia--dystopia--has provided more numerous additions to the English lexicon.,The additions were used wisely from the looking-glass.,-,neutral
You can stop.,You don't have to go on.,entailment,neutral
.. I chucked him out the door and he's not been back innerwards. ,He is not in since I threw him out the door.,entailment,entailment
Does parenting really matter?,It's unclear if parenting is really that important.,entailment,entailment
Many business firms have  casual days  for office attire.,Business firms have casual days where formal wear is not required.,entailment,entailment
"Supported by government grants, private foundations, and law firms",Government grants are not part of the funding equation.  ,contradiction,neutral
"In 1985 a group of courageous pioneering women established the YWCA of Indianapolis to meet the needs of women, and in 1998 the tradition continues.",The YMCA of Indianapolis was founded in 1998.,contradiction,contradiction
"Some time later, I got still another version of MUSKRAT RAMBLE, with still another version of the title.","Not long after, my copy of MUSKRAT RAMBLE had been stolen.",contradiction,neutral
That kind of pawkiness is fitting in a dictionary edited and published in Edinburgh and which defines pawky as a Scots word meaning  drily or slyly humorous. ,Edinburgh never defined pawkiness in their published dictionary.,contradiction,contradiction
So would a society.,A society would not.,contradiction,contradiction
"Yeah, he had a guy that would help him on Wednesdays, it was the local barber.",The barber helped him on Wednesdays.,entailment,entailment
Hand guns of the fourteenth century were equipped with touchholes; in order to discharge such a weapon it was necessary to touch it with a torch.,The touchhole was used in loading the gun as well.,neutral,neutral
"However you choose to participate, I know you'll enjoy being a part of the Herron School of Art and Gallery.",You will detest the Herron School of Art and Gallery and have nothing to do with it.,contradiction,contradiction
"They enabled the passengers to gain critical information, including the news that two aircraft had slammed into the World Trade Center.",The passengers could gain critical information and contact loved ones.,neutral,neutral
"Um, do you have a, one of those types of stories?","Do you have, one of those types of stories to tell?",entailment,neutral
"Before 9/11, it was not unheard of for a commercial aircraft to deviate slightly from its course, or for an FAA controller to lose radio contact with a pilot for a short period of time.",Commercial airlines can change their route whenever they feel like it.,contradiction,neutral
"In the late 1990s, these extremist groups suffered major defeats by Kurdish forces.",Kurdish forces believed they needed to stop all extremist groups.,neutral,neutral
The flight attendants would have begun their cabin service.,The flight attendants already finished their cabin service for the morning.,contradiction,neutral
How old were you when she shared this story with you?,How old were you when she told you the story?,entailment,entailment
Recently a project' arose that should be interesting to you as a former student who struggled to clear the financial hurdle of education.,"A someone who attended school while meeting the challenges of trying to pay for your education, you might find this new project enticing.",entailment,entailment
New initiatives in the inner-city are taking hold.,We hope to have 100 inner-city mentors next year.,neutral,neutral
"So after two or three days he called Callgrove and said, Don't bother coming in I found a guy better than you.",He called up Callgrove to give him a raise.,contradiction,neutral
"The controller understood, but chose to  Calling Cleveland Center, you're unreadable.",Cleveland Center was called by the controller that took the decision.,-,entailment
"I would just scream and scream you know that, No, no, don't do that.","Please, whatever you do, don't do that; you know I would be screaming for hours, it's my greatest fear.",neutral,neutral
"Not really original, no, it was, uh, poems by well-known authors that you'd find in a book, but she had to memorize a lot of them, and she, but she read us children's poems, too, out of books, books that were written for children.",She never memorized any poems.,contradiction,contradiction
No normal speaker of English encountering Man wants but little here below wonders'except facetiously'why women have been ignored.,Women have never been ignored.,contradiction,contradiction
"He could have learned of this from messages being sent by United Airlines to the cockpits of its transcontinental flights, including Flight 93, warning of cockpit intrusion and telling of the New York attacks.",United Airlines sent some messages to the cockpits of transcontinental flights.,entailment,entailment
The other aircraft referred to by New York Center was United 175.,"New York Center mentioned two aircrafts, including United 175.",neutral,entailment
"Uh, my mom took me for a it, um, doctor's visit uh, it was a physical.",My mom went into the doctor's examination room with me.,neutral,entailment
The field is about 100 years old.,The field is 2 years old.,contradiction,contradiction
"Then he assists with a general prompt,  Which piece might go down here? ","Which piece might fit here?, as he assisted with a general prompt. ",entailment,entailment
"OK, I said, So, how do we do it?",I knew how to do it. ,contradiction,neutral
Are you sure you want to be telling people that?,Do you really think it's in your best interest to be informing other folks about that?,entailment,entailment
History and Political Context Few fundamentalist movements in the Islamic world gained lasting political power.,There is no correlation between the fundamentalist movements and politics.,contradiction,neutral
"Mass customization, however, has the potential to make  tailor fit  at least somewhat less expensive, as new systems combine features of the efficient factory system with attention to at least a few critical customer measurements.",Tailor fit can become less expensive with the use of mass customization.,entailment,entailment
We need to talk to FAA.,We don't need to speak with FAA.,contradiction,contradiction
"At 9:37:46, American Airlines Flight 77 crashed into the Pentagon, traveling at approximately 530 miles per hour.",American Airlines Flight 77 struck the Pentagon at precisely 9:37:46.,entailment,entailment
"This organization's structure included as its operating arms an intelligence component, a military committee, a financial committee, a political committee, and a committee in charge of media affairs and propaganda.",The organization included many branches to manage its operations.,entailment,entailment
 From General Stores to Mass Retailers,General stores came before mass retailers.,entailment,contradiction
"At some point between 9:16 and 9:26, Barbara Olson called her husband, Ted Olson, the solicitor general of the United States.",Ted Olson does not work for the U.S. Government.,contradiction,contradiction
Cabin service would have begun.,Cabin service was disrupted by them.,neutral,neutral
Thank you for your ongoing support of our great school!,"Our great school could care less about your support, we can manage without you and your donations.",contradiction,contradiction
"Thus, if a retailer follows the simplest strategy of ordering at the beginning of each week exactly those items that sold during the previous week, manufacturers must be prepared to ship an unknown number of items each week.",Manufacturers shouldn't expect to know the number of items for every week in advance.,entailment,entailment
"Um, do you have a, one of those types of stories?",I'm sorry you don't have any stories to tell.,contradiction,neutral
"Late last Spring, we established an account for the IGGS Scholarship to help defray the tuition costs for an undergraduate major in Geology at IUPUI.",This scholarship was a significant help to Geology students.,neutral,neutral
Machines are laid out in a manner that speeds up shuttling a bin of garment bundles from operator to operator.,The process was optimized to reach maximum efficiency.,neutral,neutral
"At the end of the second year, children begin to label their own and others' internal states with words, such as  want,   happy,   mad,   think,  and  pretend. ","Usually by the end of the second year, children will begin to label their own and other's internal states with words. ",entailment,neutral
Understanding is the key.,Understanding has no impact at all ,contradiction,contradiction
"It is safe to say that lean retailers have also come out ahead, given their rapid growth in relation to, and at the expense of, traditional retailers in many different retail channels.",Traditional retailers were more profitable 35 years ago.,neutral,neutral
The growth of private-label programs among retailers in the 1980s exemplifies this trend.,The private-label programs grew in the 1980's because of the internet.,neutral,neutral
"An astute mother I observed in the grocery store had her 3-year-old son, Ricky, reach for items on the shelf and put them in the cart.",Ricky was interested only in the items he saw were colorful. ,neutral,neutral
"And as our discussion in Chapter 6 will reveal, on the whole, the quality of American child care'whether center-based or home-based'is mediocre to abysmal.",American child-care is typically anywhere from very good to excellent.,contradiction,contradiction
"Yeah, I know he had on pants, he had on a long sleeve I think the cuffs were rolled up once or twice.",I know he had black pants.,neutral,neutral
"Cancel, and tear to pieces, that great bond Which keeps me pale!",I don't want to be pale anymore because it makes me look sickly.,neutral,neutral
"It seems unnecessary to point out that Framework cannot have a very sophisticated list of words if it has only 37,000 in its memory, but I thought it might be interesting to see what substitutions were evoked by SUGGEST.",There was no reason to mention that Framework is not sophisticated since most people know.,neutral,neutral
"Thank, thank you for your stories.",Thank you for your war stories.,neutral,neutral
"To avoid New York area air traffic and uncertain about what to do, the fighters were brought down to military airspace to hold as needed.","To avoid air traffic in new York and not knowing what to do, fighters were sent to military air space. ",entailment,entailment
It is not clear how the shootdown order was communicated within NORAD.,The shootdown order was communicated inside of NORAD.,entailment,entailment
Did you identify with any of these characters?,Were you alike any of the characters?,entailment,neutral
"Historically, the bulk of the human race has never known a classroom, let alone a cloister or an ivory tower, or met up with teachers empowered by letters after their names.","Throughout history, most human beings have had no experience with formal education.",entailment,entailment
"So, too, feminists lobby for gender-neutral terms when appropriate.",Gender neutral terms should always be used.,neutral,neutral
"In order to do this, laboratories must be developed and maintained with equipment that will provide first-rate, hands-on experience for our students.",Your donations help make this possible.,neutral,neutral
"The FAA, the White House, and the Defense Department each initiated a multiagency teleconference before 9:30.","The FAA, WHite House, and Defense Department were in a teleconference together at 10:00.",neutral,contradiction
I feel like it's that way everywhere.,I don' particularly like it that way.,contradiction,neutral
"Indeed, Washington wore a dark brown suit, entirely made in America, for his first inaugural on April 30, 1789.",Most people did not notice that Washington's suit was brown at his first inaugural in April of 1789.,neutral,neutral
"Rosy, too, had seen the tune as Muskrat, Muskat , and Muscat .  I asked him what he thought the original title was.",Rosy had seen the tune with just one name.,contradiction,entailment
"During his entire time in Sudan, he had maintained guesthouses and training camps in Pakistan and Afghanistan.",He was never in Sudan.,contradiction,contradiction
